programming language,job amount,average salary
Dart,32,6250160.5753020635
Java,728,6153528.08741731
PHP,505,5762279.073145573
JavaScript,1111,6168157.003505131
PostgreSQL,365,5041078.898883171
SQL,793,6759264.31838862
MySQL,511,5282098.994573214
TypeScript,211,6615735.536738093
Visual Basic,234,7144311.004662363
Z++,99,11847031.221049825
Flow,120,9290698.169868832
CHAIN,64,15192250.868864454
FOCUS,326,8253786.878237909
Python,675,6328999.928444785
kernel,1,34507957.0
Address,141,6299805.372725985
C,362,5928978.561136166
JS++,181,5600773.319669451
C#,225,6280696.3061461905
Go,211,7847129.7347823875
Ruby,112,7351875.455507939
Ada,71,7701312.4601970725
GraphQL,62,5751854.840652354
MariaDB,24,5157964.20480754
Scheme,6,11844474.673449611
Copilot,8,10416144.382139195
Expect,33,17920520.2997776
Solidity,4,9521067.869493987
solid,338,6382359.167111682
pipelines,244,5560387.992877893
RAPID,31,5498341.381929189
NPL,1,11004708.625
april,3,4708513.986111111
flagship,11,6203420.772235206
Kotlin,117,6101024.9262127
Swift,96,6856960.628534172
Small,72,13011626.419631567
Simplicity,5,10856018.1374031
Perl,18,7126649.348725472
C++,118,5903931.743223736
R,148,8115521.460633558
Scratch,25,6819342.410831299
F,14,15115687.341627615
Scala,36,6069870.496656338
Rust,27,8891196.888704723
Groovy,10,10062850.58605517
Revolution,61,3054643.915108728
MATLAB,17,5764911.548656295
Adept,21,7698934.300564067
Click,54,8351127.926814728
Apex,11,7816074.484489086
.QL,26,4766819.031018988
dss,2,8298783.857954545
Pure,3,10880799.885335917
SPARK,82,3916176.6494912724
GAP,23,27730938.96393032
Alpha,3,8374726.930320151
Falcon,2,11286666.666666668
Plot,46,9235123.102766793
Joy,57,6746368.332314458
CONVERT,23,10261980.620536214
Frank,1,9373333.333333334
P,38,12245767.634765223
lever,1,9373333.333333334
JADE,5,7745929.005253856
Blue,3,85880514.92929292
THINK C,11,5742402.231619129
Inform,32,8375049.3760997085
NATURAL,68,9016125.280436559
Reason,11,20211266.15093236
ARM,6,4633452.373737373
SR,6,6667699.874120644
Crystal,11,5114617.806365192
PowerHouse,11,6412519.519480521
Conceptual,22,6264479.335630361
Factor,10,7026807.65904218
False,2,5447083.333333334
RPL,4,7686666.666666667
SQLite,12,5033166.800400964
fe,7,4044916.8084635036
Chrome,3,10337008.121447029
Tao,4,7667711.864406779
Flavors,4,4648998.8566308245
Cyber,15,4851949.876868513
Bash,42,6491318.345677298
DEMOS,7,8340721.645021646
Q,4,13753915.681818182
PROMETHEUS,29,4657207.470512622
Gist,3,4191111.1111111115
PILOT,6,10826544.252877614
REDUCE,28,5395293.120739435
Monkey,1,9373333.333333334
Z,1,9373333.333333334
abs,1,9373333.333333334
FaCT,5,29778526.01832276
MACRO,2,68067052.86363636
FLUX,4,11001366.058827206
ECMAScript,3,13176238.465116277
Argus,3,10322222.222222224
Assembly,6,9375530.661941221
PowerShell,21,5552177.658067975
FoxPRO,6,4637549.741552597
Delphi,5,5088090.1441868255
SCM,2,9190476.19047619
Red,14,9600474.90325898
MetaL,3,6789724.960127592
SaltStack,1,14000000.0
bamboo,13,4155178.345026291
Mercury,3,12842905.131782943
UNITY,12,6091128.553806561
Arduino,2,3889331.25
SAS,15,3107142.7691049664
SPSS,22,2049910.2870813394
SIGNAL,4,2974287.2807017546
Spatial,15,3137366.9030568367
AL,5,5022470.8556217095
jasper,3,11754785.899224805
PowerBuilder,1,11000000.0
SRL,2,11632178.848837208
Virgil,1,11000000.0
Logos,2,6813000.0
Dale,1,11000000.0
LUCID,1,11000000.0
CUDA,2,15000000.0
LINQ,1,12264357.697674418
JOVIAL,2,12264357.697674418
APL,3,6019884.435550963
BASIC A+,6,3509775.333982419
Cell,2,7407602.577650769
MIMIC,4,5400189.961071825
Charity,2,6520336.743574051
Meson,1,12264357.697674418
DYNAMO,1,12264357.697674418
PLANNER,2,12264357.697674418
Haskell,3,9026520.950991984
Gherkin,3,6075217.678632851
OBJ,2,12264357.697674418
frame,4,5278802.215552111
Tea,1,31222900.0
Sqlalchemy,6,3709826.3210376888
Erlang,14,3291520.9981992943
Sage,5,3193881.4513005977
F#,1,2550847.4576271186
Lisp,1,2550847.4576271186
Lua,1,2550847.4576271186
bloom,3,3112134.04887096
score,4,2097275.7795171365
HL7,4,3055351.5542120533
VBA,9,2669043.566689615
ActionScript,3,3112134.04887096
Elixir,4,3212282.5826624166
MAPPER,1,3178571.571428572
Boo,7,2400483.054421769
Pan,2,2902285.785714286
l2,13,5554524.992813157
Augment,2,1895989.2583732056
FP,2,776315.7894736842
fp,2,776315.7894736842
Vale,2,776315.7894736842
candor,1,776315.7894736842
Stata,1,776315.7894736842
Arc,1,3015662.727272727
DML,8,3062648.019556395
IPL,1,3015662.727272727
XL,4,3732736.052989353
Star,3,2975334.568968969
fox,2,2840777.777777778
LEAP,7,2382912.6984126987
Dockerfile,1,5592859.090909091
Dc,1,5592859.090909091
VBScript,2,3327448.0159741836
Coral,1,3244448.1513513518
CORAL,1,3244448.1513513518
UniVerse,1,1520833.3333333333
C2,38,1560416.6666666665
